timestamp,symbol,obi,interpretacion
2026-04-17 02:20:11,BNBUSDT,OBI:0.2211,COMPRA
2026-04-17 02:25:12,BTCUSDT,OBI:0.3204,FUERTEMENTE_COMPRA
2026-04-17 02:25:12,ETHUSDT,OBI:-0.6779,FUERTEMENTE_VENTA
2026-04-17 02:25:12,SOLUSDT,OBI:-0.0626,NEUTRAL
2026-04-17 02:25:12,BNBUSDT,OBI:-0.5955,FUERTEMENTE_VENTA
2026-04-17 02:30:13,BTCUSDT,OBI:-0.4743,FUERTEMENTE_VENTA
2026-04-17 02:30:13,ETHUSDT,OBI:-0.2554,VENTA
2026-04-17 02:30:13,SOLUSDT,OBI:-0.1475,VENTA
2026-04-17 02:30:14,BNBUSDT,OBI:-0.71,FUERTEMENTE_VENTA
2026-04-17 02:35:15,BTCUSDT,OBI:0.3606,FUERTEMENTE_COMPRA
2026-04-17 02:35:16,ETHUSDT,OBI:0.3036,FUERTEMENTE_COMPRA
2026-04-17 02:35:16,SOLUSDT,OBI:-0.1295,VENTA
2026-04-17 02:35:16,BNBUSDT,OBI:-0.0201,NEUTRAL
2026-04-17 02:40:16,BTCUSDT,OBI:-0.7436,FUERTEMENTE_VENTA
2026-04-17 02:40:17,ETHUSDT,OBI:-0.8889,FUERTEMENTE_VENTA
2026-04-17 02:40:17,SOLUSDT,OBI:0.0409,NEUTRAL
2026-04-17 02:40:17,BNBUSDT,OBI:0.329,FUERTEMENTE_COMPRA
2026-04-17 02:45:18,BTCUSDT,OBI:0.433,FUERTEMENTE_COMPRA
2026-04-17 02:45:18,ETHUSDT,OBI:0.493,FUERTEMENTE_COMPRA
2026-04-17 02:45:18,SOLUSDT,OBI:0.1098,COMPRA
2026-04-17 02:45:18,BNBUSDT,OBI:0.1559,COMPRA
2026-04-17 02:50:19,BTCUSDT,OBI:-0.1164,VENTA
2026-04-17 02:50:19,ETHUSDT,OBI:-0.5978,FUERTEMENTE_VENTA
2026-04-17 02:50:19,SOLUSDT,OBI:0.0522,NEUTRAL
2026-04-17 02:50:20,BNBUSDT,OBI:0.0508,NEUTRAL
